country,highest_education,title,pay_usd
Czech Republic,Bachelor’s degree,Student,"0-10,000"
Nigeria,No formal education past high school,Consultant,
Vietnam,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Student,
Japan,Some college/university study without earning a bachelor’s degree,,
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"100-125,000"
Russian Federation,Master’s degree,Data Scientist,
India,Master’s degree,Data Analyst,"0-10,000"
Australia,Master’s degree,Consultant,
China,Master’s degree,Data Analyst,"0-10,000"
Netherlands,Master’s degree,Consultant,"40-50,000"
Russian Federation,Doctoral degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
Turkey,Master’s degree,Consultant,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,,
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,,,
"Hong Kong SAR, China",Doctoral degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,
Germany,Master’s degree,Software Engineer,
India,Master’s degree,Data Scientist,"20-30,000"
Singapore,Master’s degree,Data Scientist,"70-80,000"
India,Master’s degree,Student,
China,Master’s degree,Student,"0-10,000"
Russian Federation,Bachelor’s degree,Not employed,
Russian Federation,Master’s degree,Software Engineer,"20-30,000"
Singapore,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Japan,Doctoral degree,Data Scientist,
India,Bachelor’s degree,Software Engineer,"20-30,000"
United Kingdom,Master’s degree,Data Scientist,"90-100,000"
France,Master’s degree,Consultant,"50-60,000"
Norway,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Russian Federation,Bachelor’s degree,Student,"0-10,000"
France,Doctoral degree,Research Scientist,
"Hong Kong SAR, China",Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Russian Federation,Doctoral degree,Data Analyst,"10-20,000"
Russian Federation,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Ireland,Bachelor’s degree,Student,"10-20,000"
United Kingdom,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Australia,Bachelor’s degree,Student,"0-10,000"
Russian Federation,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
Australia,Master’s degree,Data Analyst,"30-40,000"
China,Professional degree,Student,"10-20,000"
India,Master’s degree,Data Engineer,"0-10,000"
Germany,Master’s degree,Consultant,"50-60,000"
India,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
Vietnam,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Russian Federation,No formal education past high school,DBA/Database Engineer,"30-40,000"
Switzerland,Doctoral degree,Chief Officer,"125-150,000"
India,Bachelor’s degree,Not employed,
Vietnam,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Software Engineer,"30-40,000"
India,Bachelor’s degree,Student,
Ireland,No formal education past high school,,
Turkey,Doctoral degree,Other,"0-10,000"
India,Bachelor’s degree,Software Engineer,"50-60,000"
India,Master’s degree,Not employed,
Portugal,Master’s degree,Student,"0-10,000"
Vietnam,Bachelor’s degree,Software Engineer,"0-10,000"
India,Professional degree,Not employed,
Italy,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Germany,Doctoral degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
United Kingdom,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Other,"10-20,000"
India,Bachelor’s degree,Student,
Italy,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,,,
Hungary,Bachelor’s degree,Data Scientist,"10-20,000"
Austria,Bachelor’s degree,Product/Project Manager,"50-60,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
China,Master’s degree,Data Scientist,"10-20,000"
Indonesia,Bachelor’s degree,Software Engineer,"0-10,000"
France,Doctoral degree,,
Pakistan,Doctoral degree,Other,"20-30,000"
China,Master’s degree,Student,
United Kingdom,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Indonesia,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Consultant,"60-70,000"
United Kingdom,Doctoral degree,Student,"20-30,000"
South Africa,Doctoral degree,Statistician,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,
France,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Student,"0-10,000"
United Kingdom,Master’s degree,Student,"0-10,000"
China,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Tunisia,Master’s degree,Software Engineer,
Ukraine,Bachelor’s degree,Data Scientist,"10-20,000"
"Hong Kong SAR, China",Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Data Scientist,
"Hong Kong SAR, China",Bachelor’s degree,,
France,Bachelor’s degree,Data Scientist,"50-60,000"
Kenya,Master’s degree,Software Engineer,"0-10,000"
Japan,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
France,Bachelor’s degree,Other,"60-70,000"
Pakistan,Master’s degree,Research Scientist,"30-40,000"
United Kingdom,Master’s degree,Data Scientist,"125-150,000"
India,Bachelor’s degree,Student,"0-10,000"
Singapore,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Russian Federation,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"10-20,000"
Japan,No formal education past high school,Student,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
New Zealand,Doctoral degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Kenya,Master’s degree,Business Analyst,"20-30,000"
France,Master’s degree,Software Engineer,"40-50,000"
South Africa,Master’s degree,Student,
France,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Italy,Bachelor’s degree,Data Scientist,"30-40,000"
Kenya,Doctoral degree,Research Scientist,"20-30,000"
Indonesia,Professional degree,Not employed,
India,Bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,"0-10,000"
Japan,Master’s degree,Student,
New Zealand,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Other,
"Korea, Rep.",Bachelor’s degree,Software Engineer,"70-80,000"
Hungary,Master’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Germany,Master’s degree,Data Scientist,
Greece,Master’s degree,Salesperson,I do not wish to disclose my approximate yearly compensation
Bangladesh,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Research Scientist,"40-50,000"
India,Bachelor’s degree,Software Engineer,"10-20,000"
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Greece,Doctoral degree,Research Assistant,"10-20,000"
Japan,No formal education past high school,Software Engineer,"50-60,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
Russian Federation,Master’s degree,Business Analyst,"0-10,000"
New Zealand,Bachelor’s degree,Software Engineer,"10-20,000"
Kenya,Master’s degree,Data Engineer,"0-10,000"
Norway,Master’s degree,Business Analyst,"50-60,000"
Australia,Master’s degree,Data Analyst,
Spain,Master’s degree,Manager,"100-125,000"
Pakistan,Bachelor’s degree,Student,
China,Bachelor’s degree,Manager,I do not wish to disclose my approximate yearly compensation
Australia,Master’s degree,Data Scientist,"100-125,000"
India,Professional degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Japan,Master’s degree,Student,"0-10,000"
"Korea, Rep.",Bachelor’s degree,Student,"90-100,000"
Nigeria,Bachelor’s degree,Software Engineer,"0-10,000"
Japan,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
Australia,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Turkey,Some college/university study without earning a bachelor’s degree,Software Engineer,"0-10,000"
New Zealand,Master’s degree,Student,"10-20,000"
India,Bachelor’s degree,Software Engineer,"40-50,000"
Australia,Bachelor’s degree,Data Engineer,"30-40,000"
Tunisia,Master’s degree,Software Engineer,"30-40,000"
India,Bachelor’s degree,Student,
Greece,Master’s degree,Data Analyst,"0-10,000"
Australia,Doctoral degree,Data Scientist,"125-150,000"
India,Some college/university study without earning a bachelor’s degree,,
India,Bachelor’s degree,Student,
Australia,Bachelor’s degree,Student,
Denmark,Doctoral degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
"Egypt, Arab Rep.",Bachelor’s degree,Research Scientist,
Greece,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
"Korea, Rep.",Master’s degree,Other,"40-50,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,,
Japan,Master’s degree,Research Scientist,"30-40,000"
Russian Federation,Professional degree,Data Scientist,"30-40,000"
Japan,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Some college/university study without earning a bachelor’s degree,Data Scientist,"0-10,000"
"Egypt, Arab Rep.",Master’s degree,Research Assistant,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
"Korea, Rep.",Master’s degree,Software Engineer,"80-90,000"
Germany,,,
China,,,
India,Bachelor’s degree,Not employed,
Spain,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Japan,No formal education past high school,Software Engineer,"400-500,000"
Austria,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Japan,No formal education past high school,Research Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Marketing Analyst,"125-150,000"
Singapore,Master’s degree,Software Engineer,"80-90,000"
Australia,Master’s degree,Consultant,"150-200,000"
France,Master’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
